Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number,Value (passives only),Description,Quantity,Designators,Location,
SAMSUNG,CL05A105JQ5NNNC,,,1uF,CAPACITOR 0402 CERAMIC,3,"C1, C2, C141","TOP, BOT, TOP",
KEMET,CBR04C101F3GAC,,,100pF,CAPACITOR 0402 CERAMIC,17,"C4, C5, C8, C9, C10, C11, C13, C14, C22, C23, C24, C30, C152, C153, C154, C170, C171","TOP..TOP, BOT, BOT, BOT, BOT, BOT",
MURATA,GJM1555C1H200JB01D,,,20pF,CAPACITOR 0402 CERAMIC,4,"C6, C7, C12, C21",TOP,
SAMSUNG,CL10B102KB8NNNC,,,1nF,CAPACITOR 0603 CERAMIC,7,"C15, C18, C25, C26, C27, C28, C29","BOT, TOP, BOT..BOT",
SAMSUNG,CL10F104ZB8NNNC,,,100nF,CAPACITOR 0603 CERAMIC,15,"C16, C19, C82, C87, C139, C140, C145, C150, C160, C163, C165, C168, C173, C174, C187","BOT, TOP, BOT, BOT, TOP, BOT, TOP, TOP..TOP, BOT, BOT, TOP",
MURATA,GRM188C80G106KE47D,,,10uF,CAPACITOR 0603 CERAMIC,6,"C17, C20, C162, C167, C183, C184","BOT, BOT, TOP, TOP, BOT, BOT",
MURATA,GRM155R61C104KA88J,,,100nF,CAPACITOR 0402 CERAMIC,37,"C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C45, C46, C47, C84, C85, C48, C51, C52, C53, C54, C55, C56, C61, C63, C65, C67, C69, C71, C74, C76, C78, C83, C86, C189","TOP, TOP, TOP, BOT, TOP, BOT, BOT, TOP, TOP, BOT",
SAMSUNG,CL10A226MR8NQDC,,,22uF,CAPACITOR 0603 CERAMIC 4V X5R/X7R,3,"C44, C79, C147",,
SAMSUNG,CL05A106MR5NRNC,,,10uF,CAPACITOR 0402 CERAMIC,2,"C49, C50",,
SAMSUNG,CL05B103KA5NNNC,,,10nF,CAPACITOR 0402 CERAMIC,10,"C57, C58, C59, C60, C62, C64, C66, C68, C70, C72",,
