Part Number,Category,Description,Value,Footprint,Quantity,Location
NCP700BSN33T1G,Linear Regulator,LDO 0.2A,3.3 V,5TSOP,3,E06
XFL4020-222ME,Inductor,SHIELDED POWER INDUCTOR,2.2 uH,,4,B04
TPS62130RGTT,Switching Regulator,3A,,QFN,2,B05
XC7A50T-1FTG256C,FPGA,Artix 7 50T,,BGA,1,B21
N25Q128A11ESE40G,Flash Memory,108MHz,128 Mbit,SOIC,2,B22
7S-19.200MAHE-T,Crystal,12pF 2.50mm x 2.00mm,19.2 MHz,N/A,3,C16
AD9364BBCZ,RF Transceiver,"56 MHz BANDWIDTH, 12-bit DAC/ADCs",70 MHz - 6 GHz,BGA,1,D14
ADP1755ACPZ-R7,Linear Regulator,ADJ LOW NOISE 1.2A,0.75 - 3.3 V,CSP,4,D23
CRG0402J100K/10,Resistor,,100 kΩ,0402,8,D27
OSTTJ0231530,Connector,TERM BLOCK PLUG 2POS STRAIGHT,3.81 mm,N/A,2,D25
APT3216QBC/D,LED,CLR,Blue (470 nm),1206,0,N/A
RC0402FR-0751KL,Resistor,,51 kΩ,0402,9,D28
PS1420P02CT,Buzzer,2kHz 14mm THRU HOLE,,N/A,0,N/A
RC0402FR-07200KL,Resistor,,200 kΩ,0402,8,D30
APT3216SRCPRV,LED,CLR,Red (640 nm),1206,0,N/A
RC0402FR-07160KL,Resistor,,160 kΩ,0402,9,D32
MAX31855KASA+,Sensor,THERMOCOUPLE DIGITAL CONVERTER,,SOIC,0,N/A
LPC11U24FBD48/401,MCU,ARM CORTEX M0 32kB FLASH 50MHz,,LQFP,0,D33
VJ0805G106KXQTW1BC,Capacitor,CER 10V,10 uF,0805,0,N/A
GRM155R71C222KA01D,Capacitor,CER 16V,2.2 nF,0402,8,E02
VJ0603A180JXACW1BC,Capacitor,CER 50V,18 pF,0603,0,N/A
LMK212BJ106KG-T,Capacitor,CER 10V,10 uF,0805,8,E03
ERJ-3GEYJ330V,Resistor,,33 Ω,0603,0,N/A
TXS0108ERGYR,Misc Logic IC,LEVEL SHIFTER,,QFN,2,E04
10118194-0001LF,Connector,MICRO USB 2.0 TYPE B,,N/A,0,N/A
M24M02-DRMN6TP,Flash Memory,EEPROM 2MBIT 1MHz,,SOIC,2,E05
UWT1E470MCL6GS,Capacitor,ALUM ELECTROLYTIC 25V,47 uF,,0,N/A
ERJ-3EKF2200V,Resistor,,220 Ω,0603,0,N/A
AM-12.000MAGE-T,Crystal,30 PPM,12 MHz,,0,N/A
GRM155R61C104KA88J,Capacitor,CER 16V X5R,0.1 uF,0402,100,E08
RF081M2STR,Diode,FAST RECOVERY,,,0,N/A
MCT06030C1501FP500,Resistor,1/10W 1%,1.5 kΩ,0603,0,"N/A
"
67996-416HLF,Connector,HEADER 16POS .1in,2.54 mm,N/A,2,E09
691321300002,Connector,TERM BLOCK HEADER 2POS VERT,3.81 mm,N/A,2,E12
691361300002,Connector,TERM BLOCK PLUG 2POS STRAIGHT,3.81 mm,N/A,0,N/A
QSE-040-01-L-D-A,Connector,HI-SPEED RECEPTACLE 80POS,,N/A,2,E13
LD1117AS33TR,Linear Regulator,LDO 1A,3.3 V,SOT223,0,N/A
SIT8008AI-22-18E-100.000000G,Oscillator,MEMS 3.2 x 2.5 mm,100 MHz,N/A,3,B23
CYUSB3014-BZXC,MCU,USB 3.0 MCU,,BGA,1,C13
AT24CM01-SHM-B,EEPROM,I2C 1MHz 8SOIC 1.7-5.5V,1 Mbit,SOIC,1,C14
AT24C256C-SSHL-T,EEPROM,I2C 1MHz 8SOIC 1.7-5.5V,256 Kbit,SOIC,1,C15
TPD4EUSB30DQAR,Diode,TVS USB3.0 PROTECTION DIODE,,10SON,1,D11
