Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
,,,,,,
U12,MICT-SE-8_N,666.339mil,-2053.15mil,B,270,N25Q128A11ESE40G
U6,TXB0108,2362.205mil,-2151.575mil,B,270,TXS0108E
R40,0402R-GENERIC,2391.732mil,-2308.74mil,B,90,10K
C174,0603C-GENERIC,489.232mil,-2112.205mil,B,180,100nF
C173,0603C-GENERIC,2183.996mil,-2076.772mil,B,360,100nF
P2,142-0701-851,4181.988mil,-300.887mil,T,270,142-0701-851
P1,142-0701-851,4181.988mil,-2455.387mil,T,270,142-0701-851
R39,0603R-330,4149.732mil,-2149.327mil,B,270,330R
R38,0603R-330,3884.732mil,-1956.827mil,B,270,330R
R37,0603R-330,3854.732mil,-907.327mil,B,360,330R
R30,0603R-330,3914.232mil,-2225.327mil,B,270,330R
R29,0603R-330,3966.232mil,-956.827mil,B,360,330R
C171,0402C-TBD,3948.611mil,-2339.166mil,B,180,100pF
C170,0402C-TBD,3987.633mil,-872.681mil,B,90,100pF
C154,0402C-TBD,4105.232mil,-831.327mil,B,360,100pF
C153,0402C-TBD,3881.232mil,-2063.827mil,B,90,100pF
C152,0402C-TBD,3863.232mil,-2257.327mil,B,90,100pF
U13,TSOP-5,3593.232mil,-347.327mil,T,270,NCP700B
U8,RGT16-1700X1700TP,1263.482mil,-2402.327mil,T,180,TPS62130RGTT
U7,RGT16-1700X1700TP,2034.982mil,-2398.327mil,T,180,TPS62130RGTT
TP3,TESTPAD,1461.982mil,-2345.827mil,B,90,TESTPAD
TP2,TESTPAD,2230.482mil,-2340.327mil,B,90,TESTPAD
R28,0402R-GENERIC,1233.482mil,-2287.327mil,T,180,160k
R27,0402R-GENERIC,1323.482mil,-2287.327mil,T,180,200k
R26,0402R-GENERIC,1552.982mil,-2427.327mil,T,90,100k
R25,0402R-GENERIC,2009.982mil,-2285.827mil,T,180,200k
R21,0402R-GENERIC,2099.982mil,-2285.827mil,T,180,51k
R20,0402R-GENERIC,2324.982mil,-2423.327mil,T,90,100k
L5,XFL4020,1443.482mil,-2468.98mil,T,270,XFL4020-222ME
L4,XFL4020,2214.982mil,-2464.98mil,T,270,XFL4020-222ME
C179,0603C-GENERIC,3607.232mil,-497.327mil,T,270,1uF
C178,0603C-GENERIC,3661.232mil,-497.217mil,T,270,1uF
C176,0603C-GENERIC,3593.232mil,-213.327mil,T,180,1uF
C151,0402C-TBD,1153.482mil,-2342.327mil,T,90,2.2nF
C150,0603C-GENERIC,1098.482mil,-2334.827mil,T,90,100nF
C149,0805C-GENERIC,1138.482mil,-2472.327mil,T,270,10uF
C148,1210,1032.982mil,-2487.827mil,T,90,C1210
C147,0603C-GENERIC,1305.982mil,-2537.327mil,T,180,22uF
C146,0402C-TBD,1924.982mil,-2343.327mil,T,90,2.2nF
C145,0603C-GENERIC,1869.982mil,-2335.827mil,T,90,100nF
C144,0805C-GENERIC,1909.982mil,-2473.327mil,T,270,10uF
